id,plan_type,brand,channel,age_group,fabric_category,item_capacity_group,average_depth,create_time,update_time
1597772160992493570,2,巴拉巴拉,巴拉巴拉线上,婴童,梭织,梭织外套,11.4,2022-11-30 09:59:03,2022-11-30 09:59:03
1597772160996687889,2,巴拉巴拉,巴拉巴拉线上,婴童,梭织,梭织婴童,13.0,2022-11-30 09:59:03,2022-11-30 09:59:03
1597772160992493571,2,巴拉巴拉,巴拉巴拉线上,婴童,梭织,梭织裙子,11.0,2022-11-30 09:59:03,2022-11-30 09:59:03
1597772160996687878,2,巴拉巴拉,巴拉巴拉线上,婴童,梭织,梭织裤子,2.0,2022-11-30 09:59:03,2022-11-30 09:59:03
1597772160996687886,2,巴拉巴拉,巴拉巴拉线上,婴童,毛织,毛织大类,35.875,2022-11-30 09:59:03,2022-11-30 09:59:03
1597772160996687890,2,巴拉巴拉,巴拉巴拉线上,婴童,牛仔,牛仔大类,5.0,2022-11-30 09:59:03,2022-11-30 09:59:03
1597772160996687892,2,巴拉巴拉,巴拉巴拉线上,婴童,针织,针织大类,14.529,2022-11-30 09:59:03,2022-11-30 09:59:03
1597772160996687884,2,巴拉巴拉,巴拉巴拉线上,非婴童,梭织,梭织外套,41.545,2022-11-30 09:59:03,2022-11-30 09:59:03
1597772160988299266,2,巴拉巴拉,巴拉巴拉线上,非婴童,梭织,梭织裙子,14.667,2022-11-30 09:59:03,2022-11-30 09:59:03
1597772160996687891,2,巴拉巴拉,巴拉巴拉线上,非婴童,梭织,梭织裤子,11.167,2022-11-30 09:59:03,2022-11-30 09:59:03
1597772160996687887,2,巴拉巴拉,巴拉巴拉线上,非婴童,毛织,毛织大类,42.471,2022-11-30 09:59:03,2022-11-30 09:59:03
1597772160996687879,2,巴拉巴拉,巴拉巴拉线上,非婴童,牛仔,牛仔大类,10.167,2022-11-30 09:59:03,2022-11-30 09:59:03
1597772160996687876,2,巴拉巴拉,巴拉巴拉线上,非婴童,针织,针织大类,15.073,2022-11-30 09:59:03,2022-11-30 09:59:03
1597772160996687875,2,巴拉巴拉,巴拉巴拉线下,婴童,梭织,梭织外套,13.423,2022-11-30 09:59:03,2022-11-30 09:59:03
1597772160996687881,2,巴拉巴拉,巴拉巴拉线下,婴童,梭织,梭织婴童,5.667,2022-11-30 09:59:03,2022-11-30 09:59:03
1597772161000882179,2,巴拉巴拉,巴拉巴拉线下,婴童,梭织,梭织裙子,12.5,2022-11-30 09:59:03,2022-11-30 09:59:03
1597772160992493573,2,巴拉巴拉,巴拉巴拉线下,婴童,梭织,梭织裤子,12.143,2022-11-30 09:59:03,2022-11-30 09:59:03
1597772160996687874,2,巴拉巴拉,巴拉巴拉线下,婴童,毛织,毛织大类,37.455,2022-11-30 09:59:03,2022-11-30 09:59:03
1597772160996687882,2,巴拉巴拉,巴拉巴拉线下,婴童,牛仔,牛仔大类,14.333,2022-11-30 09:59:03,2022-11-30 09:59:03
1597772160996687883,2,巴拉巴拉,巴拉巴拉线下,婴童,针织,针织大类,12.955,2022-11-30 09:59:03,2022-11-30 09:59:03
1597772160996687880,2,巴拉巴拉,巴拉巴拉线下,非婴童,梭织,梭织外套,37.478,2022-11-30 09:59:03,2022-11-30 09:59:03
1597772160992493572,2,巴拉巴拉,巴拉巴拉线下,非婴童,梭织,梭织裙子,25.688,2022-11-30 09:59:03,2022-11-30 09:59:03
1597772160996687888,2,巴拉巴拉,巴拉巴拉线下,非婴童,梭织,梭织裤子,32.4,2022-11-30 09:59:03,2022-11-30 09:59:03
1597772160996687885,2,巴拉巴拉,巴拉巴拉线下,非婴童,毛织,毛织大类,60.357,2022-11-30 09:59:03,2022-11-30 09:59:03
1597772160996687877,2,巴拉巴拉,巴拉巴拉线下,非婴童,牛仔,牛仔大类,21.526,2022-11-30 09:59:03,2022-11-30 09:59:03
1597772161000882178,2,巴拉巴拉,巴拉巴拉线下,非婴童,针织,针织大类,26.568,2022-11-30 09:59:03,2022-11-30 09:59:03
