,name,item_num,order_num,supplier_num,machine_num,objVal,Runtime,Gap,is_correct,finished_item_num,finished_order_num,pool_1,pool_2,pool_3,pool_4,pool_5
0,1,1,1,1,1,1.0,1.0,1,1,1,1,1,1,1,1,1
1,9,100,307,20,50,18698.05170732508,87.75713515281677,0.00%,检查正确,89,268,战略_的平均产能规划达成率为_0.3861,核心_的平均产能规划达成率为_0.3714,合格_的平均产能规划达成率为_0.3442,培养_的平均产能规划达成率为_0.3730,观察_的平均产能规划达成率为_0.0016
2,0,100,296,20,59,31775.94666572564,114.81974220275879,0.00%,检查正确,81,226,战略_的平均产能规划达成率为_0.2496,核心_的平均产能规划达成率为_0.2476,合格_的平均产能规划达成率为_0.1572,培养_的平均产能规划达成率为_0.2367,
3,7,100,308,20,40,43917.10890949592,43.55335998535156,0.00%,检查正确,74,215,战略_的平均产能规划达成率为_0.3379,核心_的平均产能规划达成率为_0.2963,合格_的平均产能规划达成率为_0.1334,培养_的平均产能规划达成率为_0.1726,观察_的平均产能规划达成率为_0.0823
4,6,100,315,20,54,13211.890758367837,176.8933367729187,0.00%,检查正确,92,286,战略_的平均产能规划达成率为_0.3589,核心_的平均产能规划达成率为_0.2454,合格_的平均产能规划达成率为_0.1933,培养_的平均产能规划达成率为_0.2687,观察_的平均产能规划达成率为_0.1892
5,1,100,291,20,58,31441.013800016328,59.52148985862732,0.00%,检查正确,80,225,战略_的平均产能规划达成率为_0.2002,核心_的平均产能规划达成率为_0.1951,合格_的平均产能规划达成率为_0.1954,培养_的平均产能规划达成率为_0.1935,观察_的平均产能规划达成率为_0.1962
6,8,100,291,19,55,18827.432069318136,27.098644971847534,0.00%,检查正确,89,247,战略_的平均产能规划达成率为_0.3436,核心_的平均产能规划达成率为_0.2124,合格_的平均产能规划达成率为_0.2101,培养_的平均产能规划达成率为_0.2339,
7,4,100,300,20,49,24836.773986232627,60.9074010848999,0.00%,检查正确,85,247,战略_的平均产能规划达成率为_0.2832,核心_的平均产能规划达成率为_0.2621,合格_的平均产能规划达成率为_0.1818,培养_的平均产能规划达成率为_0.1980,观察_的平均产能规划达成率为_0.1757
8,3,100,304,20,54,27333.831198848915,97.88913702964783,0.00%,检查正确,84,244,战略_的平均产能规划达成率为_0.3279,核心_的平均产能规划达成率为_0.2658,合格_的平均产能规划达成率为_0.2415,培养_的平均产能规划达成率为_0.2400,观察_的平均产能规划达成率为_0.1794
9,2,100,330,20,47,34963.75959836994,60.053648948669434,0.00%,检查正确,82,254,战略_的平均产能规划达成率为_0.3552,核心_的平均产能规划达成率为_0.2581,合格_的平均产能规划达成率为_0.2519,培养_的平均产能规划达成率为_0.2553,观察_的平均产能规划达成率为_0.0000
10,5,100,273,19,51,15786.755391156505,53.07704401016235,0.00%,检查正确,89,237,战略_的平均产能规划达成率为_0.3507,核心_的平均产能规划达成率为_0.2520,合格_的平均产能规划达成率为_0.2084,观察_的平均产能规划达成率为_0.1490,
